"trial","subject_id","net","vignette","response_1","response_2","response_3","discrete_response_1","discrete_response_2","discrete_response_3","truth","discrete_answer","raw_err1","raw_err2","raw_err3","err1","err2","err3","overestimate","discrete_correct_1","discrete_correct_2","discrete_correct_3","abs_chg_err","chg_err","acc1","acc2","acc3"
74,661,"Social",2.7,0,5,1,"A","A","A",5,"A",-5,0,-4,5,0,4,FALSE,TRUE,TRUE,TRUE,1,-1,-5,0,-4
74,1090,"Social",2.7,0,10,NA,"A","A","A",5,"A",-5,5,NA,5,5,NA,FALSE,TRUE,TRUE,TRUE,NA,NA,-5,-5,NA
75,231,"Social",2.7,10,10,5,"A","A","A",5,"A",5,5,0,5,5,0,TRUE,TRUE,TRUE,TRUE,5,-5,-5,-5,0
75,601,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
75,401,"Social",2.7,5,NA,5,"A",NA,"A",5,"A",0,NA,0,0,NA,0,FALSE,TRUE,NA,TRUE,0,0,0,NA,0
74,198,"Social",2.7,5,5,3,"A","A","A",5,"A",0,0,-2,0,0,2,FALSE,TRUE,TRUE,TRUE,2,2,0,0,-2
74,1109,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
74,305,"Social",2.7,15,1,2,"A","A","A",5,"A",10,-4,-3,10,4,3,TRUE,TRUE,TRUE,TRUE,7,-7,-10,-4,-3
74,791,"Social",2.7,10,5,5,"A","A","A",5,"A",5,0,0,5,0,0,TRUE,TRUE,TRUE,TRUE,5,-5,-5,0,0
74,181,"Social",2.7,0,1,0,"A","A","A",5,"A",-5,-4,-5,5,4,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-4,-5
74,571,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
